CMDLINE /usr/bin/python3 shell_sort.py
MEM 0.781250 1632149690.7503
MEM 0.812500 1632149690.7504
MEM 1.132812 1632149690.7505
MEM 1.132812 1632149690.7506
MEM 3.574219 1632149690.7507
MEM 3.574219 1632149690.7508
MEM 3.574219 1632149690.7509
MEM 5.019531 1632149690.7509
MEM 5.019531 1632149690.7510
MEM 5.019531 1632149690.7512
MEM 5.019531 1632149690.7513
MEM 5.019531 1632149690.7514
MEM 5.019531 1632149690.7514
MEM 5.335938 1632149690.7515
MEM 5.335938 1632149690.7516
MEM 5.335938 1632149690.7517
MEM 5.609375 1632149690.7518
MEM 5.609375 1632149690.7519
MEM 5.609375 1632149690.7520
MEM 6.058594 1632149690.7521
MEM 6.058594 1632149690.7522
MEM 6.058594 1632149690.7523
MEM 6.058594 1632149690.7524
MEM 6.058594 1632149690.7525
MEM 6.058594 1632149690.7526
MEM 6.058594 1632149690.7527
MEM 6.058594 1632149690.7527
MEM 6.058594 1632149690.7528
MEM 6.058594 1632149690.7529
MEM 6.648438 1632149690.7530
MEM 6.648438 1632149690.7531
MEM 6.648438 1632149690.7532
MEM 6.648438 1632149690.7533
MEM 6.648438 1632149690.7534
MEM 6.648438 1632149690.7535
MEM 6.996094 1632149690.7536
MEM 6.996094 1632149690.7537
MEM 6.996094 1632149690.7538
MEM 6.996094 1632149690.7538
MEM 6.996094 1632149690.7539
MEM 6.996094 1632149690.7540
MEM 6.996094 1632149690.7541
MEM 6.996094 1632149690.7542
MEM 6.996094 1632149690.7543
MEM 6.996094 1632149690.7544
MEM 6.996094 1632149690.7545
MEM 6.996094 1632149690.7546
MEM 6.996094 1632149690.7547
MEM 6.996094 1632149690.7548
MEM 6.996094 1632149690.7549
MEM 6.996094 1632149690.7550
MEM 6.996094 1632149690.7551
MEM 7.246094 1632149690.7552
MEM 7.246094 1632149690.7553
MEM 7.246094 1632149690.7554
MEM 7.246094 1632149690.7555
MEM 7.246094 1632149690.7556
MEM 7.246094 1632149690.7557
MEM 7.246094 1632149690.7558
MEM 7.246094 1632149690.7559
MEM 7.246094 1632149690.7560
